Sample,RHJC:Y,RHJC:Z,RKJC:Y,RKJC:Z,RAJC:Y,RAJC:Z,RTOE:Y,RTOE:Z,RHJC:Yf,RHJC:Zf,RKJC:Yf,RKJC:Zf,RAJC:Yf,RAJC:Zf,RTOE:Yf,RTOE:Zf,COPy,Fy,Fz
0,-110.405807,808.362488,90.303398,434.771454,169.78717,69.710327,314.010284,56.057377,-111.608332982,808.745358214,97.2613018756,440.686060173,167.528142428,69.5462635165,313.945454863,59.9694959309,112.218002723,-62.7031793024,319.430751588
1,-91.843765,807.682861,108.712898,435.642731,178.234833,67.944839,319.330994,48.053173,-92.9019030656,808.426520424,115.669643738,440.675664915,174.016053019,67.80833218,318.789413008,52.0769285871,141.06632609,-86.9192962312,407.890135434
2,-73.9842,807.573364,130.25528,439.053986,182.942062,66.422028,323.28772,42.123837,-74.5430599057,808.366537041,133.805665515,440.91424428,179.59169723,66.6084863464,322.832585518,45.1758091775,169.337111209,-112.44723494,498.590437913
3,-56.572876,808.065063,152.905121,443.293427,185.289413,65.841537,326.467468,37.866383,-56.5842997411,808.600178208,151.482781095,441.323882506,184.312877109,65.9220991291,326.1637123,39.401114071,195.767518468,-137.949229295,588.218320915
4,-39.46331,809.074219,173.786469,446.326447,187.215683,65.576874,329.11499,34.680614,-39.0597016874,809.160468959,168.489107224,441.812697889,188.246556891,65.6956587034,328.864713508,34.8036519695,219.311258444,-162.020918718,673.614013962
5,-22.599171,810.438904,191.11911,447.30307,189.003128,65.29615,331.268005,32.324192,-21.9855967673,810.075982152,184.605845428,442.287602438,191.466812952,65.854039426,331.011733322,31.3551595021,239.231119425,-183.317339582,751.935766201
6,-5.90762,811.896851,204.725708,446.519196,191.370773,65.575485,332.923767,30.613111,-5.36251243324,811.368570911,199.626997414,442.666819971,194.051439601,66.3090321752,332.676196542,28.9601263186,255.147890169,-200.672473849,820.76774817
7,10.426344,813.532471,215.446136,444.797058,194.134689,67.132523,334.106415,29.40971,10.8220130079,813.051612178,213.377654262,442.89008273,196.078050006,66.9682940027,333.925628773,27.4725056252,267.043327811,-213.199395717,878.187083733
8,26.383995,815.352051,224.701752,443.166565,196.971786,68.990318,334.88028,28.603495,26.5901854389,815.128770524,225.728585847,442.924994199,197.620529051,67.743846713,334.824083981,26.7150469289,275.221545938,-220.360299497,922.806819774
9,41.935646,817.482239,234.172302,441.871674,199.156006,70.218742,335.361664,28.085497,41.9706816098,817.593264806,236.605693509,442.768870379,198.746498798,68.5593021972,335.432125577,26.498916677,280.238308421,-221.99913093,953.804249095
10,57.111454,820.026672,244.054672,440.634369,200.560654,70.680939,335.656036,27.759592,56.9956651802,820.427620738,245.993825081,442.446239792,199.516133434,69.355134706,335.806402571,26.6415153919,282.810805742,-218.334299302,970.934776582
11,71.748047,823.272888,252.979202,439.665558,201.090836,70.839035,335.822083,27.557541,71.6983047272,823.603901568,253.935264158,442.002902602,199.982316973,70.0915598789,335.998937842,26.9808790884,283.721413089,-209.914326638,974.525368554
12,86.169296,826.859924,260.007324,439.481567,200.962875,70.793518,335.889893,27.438274,86.1109026387,827.084409292,260.523766178,441.497897096,200.191863482,70.7488954157,336.056292184,27.3856679781,283.727837176,-197.544142669,965.440420563
13,100.321915,830.76593,265.512207,439.74231,200.364517,70.588814,335.878845,27.378901,100.263655779,830.822830667,265.895300727,440.994854974,200.187363773,71.3256193231,336.018782293,27.7603936611,283.489393147,-182.19300435,945.016053933
14,114.22963,834.863831,270.044067,440.038696,199.603302,70.596748,335.809418,27.364647,114.184002642,834.765767781,270.216725304,440.554076389,200.009185816,71.8346434602,335.919915165,28.046126886,283.515571082,-164.896225339,914.964405611
15,127.943657,839.044006,273.996521,440.231934,199.063354,71.04882,335.707336,27.389685,127.896467775,838.854552714,273.673540667,440.226303,199.697207816,72.2985221892,335.786161936,28.217394624,284.139268056,-146.662174776,877.255038493
16,141.491455,843.242188,277.216919,440.343292,199.008163,71.832428,335.595825,27.455479,141.42288999,843.027213591,276.457733223,440.048717363,199.291961104,72.7443816521,335.637139683,28.2762792277,285.51367908,-128.393846137,833.984457874
17,154.893158,847.374512,279.382202,440.539978,199.2677,72.815277,335.486755,27.558031,154.782912696,847.220445523,278.756544113,440.043249912,198.834971613,73.1992816188,335.486209592,28.2448640779,287.629255313,-110.83132528,787.246189207
18,168.03862,851.485107,280.631775,440.887421,199.270645,73.796318,335.379913,27.676195,167.994618981,851.371448898,280.742842644,440.216907281,198.368199563,73.6865385893,335.341442536,28.1571443522,290.345515117,-94.5182543828,739.013098204
19,181.018494,855.452515,281.636597,441.345917,198.804916,74.568275,335.264343,27.779968,181.075207137,855.41952647,282.567627661,440.563591842,197.932590307,74.2232969558,335.206855477,28.051371215,293.431800774,-79.7923187268,691.04126602
20,193.909363,859.266235,283.090454,441.836426,198.060196,75.148315,335.134155,27.858257,194.041620321,859.307372419,284.355022633,441.066775731,197.565873569,74.8193907779,335.083789,27.96356545,296.61116392,-66.7971789746,644.801523314
21,206.805267,862.903015,285.272583,442.320251,197.313965,75.747314,335.008972,27.937332,206.911063107,862.98203142,286.199950974,441.702412893,197.299883276,75.4773381125,334.972280263,27.9226665723,299.602243742,-55.5113303569,601.441292259
22,219.736893,866.310059,288.123169,442.810242,196.733688,76.527664,334.917542,28.0585,219.701354855,866.395545326,288.168468297,442.441592561,197.157798166,76.1931796051,334.872287179,27.9475151749,302.1550777,-45.7881971205,561.776113264
23,232.583282,869.428223,291.165894,443.2771,196.327454,77.428452,334.861176,28.241983,232.431084339,869.505333138,290.300499525,443.252619571,197.1517933,76.957819812,334.784637426,28.0456300405,304.078075401,-37.4013734155,526.30747491
24,245.235184,872.187378,293.603851,443.721741,196.224548,78.235504,334.818604,28.477907,245.11954347,872.274364212,292.614513894,444.102408482,197.281611206,77.758545149,334.711607486,28.213557234,305.254736259,-30.0892265566,495.261565276
25,257.762054,874.580322,295.718597,444.255585,196.582397,78.820892,334.779175,28.73592,257.786433099,874.671185681,295.113510894,444.957259377,197.534487398,78.5804595974,334.657079362,28.4384457344,305.64996594,-23.5939586664,468.642444698
26,270.349548,876.646057,297.895325,445.04364,197.305405,79.293938,334.749969,28.985382,270.451352553,876.669856163,297.791614636,445.78321123,197.886697631,79.4076773518,334.626272565,28.700444346,305.306927172,-17.6915132255,446.292894126
27,283.096313,878.324524,300.399414,446.130829,198.156113,79.822281,334.730927,29.207127,283.13310591,878.249823498,300.640587659,446.546226279,198.306755495,80.2242173586,334.62510224,28.9755118866,304.33615696,-12.210232418,427.956687641
28,295.945374,879.522766,303.29364,447.291809,198.955887,80.480621,334.710754,29.387072,295.848879289,879.395769415,303.655657817,447.212445849,198.760018884,81.0146352662,334.659265895,29.2382759483,302.899149134,-7.03773847414,413.337059097
29,308.759888,880.203491,306.485291,448.146545,199.559158,81.311516,334.699615,29.512815,308.61336207,880.097433148,306.840171915,447.748691491,199.214210721,81.7644853201,334.733204908,29.4646502342,301.188738697,-2.11694754189,402.147437179
30,321.537079,880.416687,310.039124,448.469452,199.976944,82.270691,334.730743,29.577488,321.437899778,880.349421949,310.208720313,448.12329235,199.645168381,82.4607196063,334.849116108,29.6340104091,299.408478941,2.56672205282,394.151880479
31,334.316589,880.192688,314.084625,448.302856,200.426941,83.201073,334.823456,29.583418,334.329777283,880.15101933,313.788504944,448.307227769,200.042039462,83.0921090385,335.006196928,29.7308179844,297.752859779,7.00411056807,389.193872434
32,347.193481,879.488586,318.456726,447.904541,201.019531,83.972397,334.968994,29.539257,347.291737144,879.506009183,317.618851537,448.275501353,200.411153665,83.6497251353,335.200290308,29.7456581986,296.389779707,11.1838567445,387.213110823
33,360.201508,878.332031,322.761017,447.542175,201.556473,84.524399,335.158783,29.45759,360.321836182,878.422541024,321.748905641,448.008613403,200.77791948,84.1274747377,335.424051084,29.6757127831,295.44625207,15.1135814964,388.250577285
34,373.31308,876.781433,326.853973,447.262848,201.824982,84.851105,335.408936,29.350252,373.413730086,876.913063576,326.233709925,447.493967989,201.186305919,84.5226495523,335.667686496,29.5247189955,294.997974637,18.8379780387,392.442490871
35,386.48349,874.856262,331.031036,446.949432,202.055328,85.02211,335.724335,29.216879,386.557448022,874.994347001,331.129034333,446.727033468,201.695750541,84.8364478974,335.920236438,29.3024749015,295.063157885,22.4517110068,400.00380375
36,399.656097,872.561646,335.825348,446.393402,202.714081,85.132858,336.067932,29.04357,399.740677005,872.687596884,336.485501765,445.712072532,202.375655546,85.0744449159,336.171264597,29.023944759,295.600885692,26.1057837678,411.201825747
37,412.825531,869.914673,341.672913,445.297791,203.811539,85.127518,336.408936,28.822262,412.950522441,870.018637147,342.342687589,444.462278893,203.297958703,85.2470178747,336.412743203,28.7080074629,296.51423604,30.0067775887,426.320553813
38,426.034607,866.973572,348.448639,443.624512,204.926178,84.917458,336.744904,28.565659,426.175651827,867.018108707,348.723937216,442.999212688,204.528557738,85.3697584366,336.640845851,28.3758857193,297.658364912,34.4089887191,445.616517572
39,439.300629,863.773499,355.5401,441.646057,205.928055,84.74176,337.070831,28.29723,439.408669322,863.721602391,355.632619993,441.351517111,206.118589828,85.4639084792,336.857328433,28.0493022382,298.853683743,39.59992157,469.267550655
40,452.611908,860.312683,362.644989,439.393219,207.090149,84.955376,337.38443,28.032734,452.648515894,860.169625583,363.050417567,439.55301135,208.096690212,85.5568306669,337.070187872,27.748435968,299.904061685,45.8798372927,497.316855771
41,465.959534,856.624146,370.123901,436.786652,208.764771,85.435989,337.697327,27.767923,465.90264983,856.407298997,370.938046011,437.640362262,210.463349273,85.6824697954,337.293347767,27.4897952957,300.619589536,53.5361886329,529.615901665
42,479.345032,852.736023,378.53421,434.110535,211.52475,86.061859,338.018951,27.490852,479.188742216,852.483697291,379.238557434,435.650606681,213.188338015,85.8816878906,337.545228836,27.2841799535,300.842811521,62.8139379622,565.770828521
43,492.773834,848.65979,387.460205,432.315887,215.316238,86.734055,338.344971,27.20368,492.535628058,848.450785934,387.883083877,433.618801573,216.211876587,86.2022876557,337.846213399,27.1349583158,300.476479698,73.883102298,605.097911745
44,506.227661,844.483887,396.777161,431.258026,219.350037,87.45285,338.670776,26.922194,505.983290209,844.361963423,396.798600342,431.576012814,219.449803762,86.6985024376,338.215193633,27.0369278733,299.509916058,86.8054687506,646.594089784
